class,label
bead,artifact
bubble,artifact
camera_spot,artifact
Balanion,ciliate
Ciliophora,ciliate
Dictyocysta,ciliate
Didinium,ciliate
Euplotes,ciliate
Euplotes_morphotype1,ciliate
Eutintinnus,ciliate
Favella,ciliate
Laboea_strobila,ciliate
Leegaardiella_ovalis,ciliate
Mesodinium,ciliate
Paratontonia_gracillima,ciliate
Pelagostrobilidium,ciliate
Pleuronema,ciliate
Stenosemella_morphotype1,ciliate
Stenosemella_pacifica,ciliate
Strombidium_capitatum,ciliate
Strombidium_conicum,ciliate
Strombidium_inclinatum,ciliate
Strombidium_morphotype1,ciliate
Strombidium_morphotype2,ciliate
Strombidium_tintinnodes,ciliate
Strombidium_wulffi,ciliate
Tiarina_fusus,ciliate
Tintinnidium_mucicola,ciliate
Tintinnina,ciliate
Tintinnopsis,ciliate
Tontonia_appendiculariformis,ciliate
Phaeocystis_debris,detritus
Thalassiosira_TAG_external_detritus,detritus
detritus,detritus
detritus_transparent,detritus
fecal_pellet,detritus
fiber,detritus
fiber_TAG_external_detritus,detritus
Asterionellopsis_glacialis,diatom
Bacillaria,diatom
Bacillariophyceae,diatom
Bacillariophyceae_morphotype1,diatom
Bacteriastrum,diatom
Biddulphia,diatom
Cerataulina_pelagica,diatom
Chaetoceros,diatom
Chaetoceros_danicus,diatom
Chaetoceros_didymus,diatom
Chaetoceros_didymus_TAG_external_flagellate,diatom
Chaetoceros_peruvianis,diatom
Chaetoceros_similis,diatom
Chaetoceros_socialis,diatom
Chaetoceros_subtilis,diatom
Chaetoceros_tenuissimus,diatom
Chaetoceros_throndsenii,diatom
Corethron_hystrix,diatom
Coscinodiscus,diatom
Cylindrotheca,diatom
Cylindrotheca_morphotype1,diatom
Dactyliosolen_blavyanus,diatom
Dactyliosolen_fragilissimus,diatom
Delphineis,diatom
Ditylum_brightwellii,diatom
Ephemera,diatom
Eucampia,diatom
Eucampia_morphytype1,diatom
Guinardia_delicatula,diatom
Guinardia_delicatula_TAG_internal_parasite,diatom
Guinardia_flaccida,diatom
Guinardia_striata,diatom
Hemiaulus,diatom
Hemiaulus_membranaceus,diatom
Lauderia_annulata,diatom
Leptocylindrus,diatom
Leptocylindrus_mediterraneus,diatom
Licmophora,diatom
Nanoneis,diatom
Odontella,diatom
Paralia_sulcata,diatom
Pleurosigma,diatom
Pseudo-nitzschia,diatom
Rhizosolenia,diatom
Skeletonema,diatom
Stephanopyxis,diatom
Thalassionema,diatom
Thalassiosira,diatom
Thalassiosira_sp_aff_mala,diatom
pennate,diatom
pennate_Pseudo-nitzschia,diatom
pennate_Thalassionema,diatom
pennate_morphotype1,diatom
Akashiwo,dino
Alexandrium_catenella,dino
Amphidinium,dino
Amylax,dino
Dinophyceae,dino
Dinophysis_acuminata,dino
Dinophysis_norvegica,dino
Dinophysis_tripos,dino
Gonyaulax,dino
Gyrodinium,dino
Heterocapsa_rotundata,dino
Karenia,dino
Katodinium_or_Torodinium,dino
Kryptoperidinium_triquetrum,dino
Margalefidinium,dino
Oxytoxum,dino
Polykrikos,dino
Prorocentrum,dino
Prorocentrum_dentatum,dino
Prorocentrum_micans,dino
Prorocentrum_triestinum,dino
Proterythropsis,dino
Protoperidinium,dino
Scrippsiella,dino
Tripos,dino
Tripos_furca,dino
Tripos_fusus,dino
Tripos_lineatus,dino
Warnowia,dino
Copepod_nauplii,metazoan
pollen,metazoan
shellfish_larvae,metazoan
zooplankton,metazoan
Acanthoica_quattrospina,nanoflagcocco
Amoeba,nanoflagcocco
Apedinella,nanoflagcocco
