cruise,cast,depth,dataset,pid,sample_time,ifcb,ml_analyzed,latitude,longitude,niskin,sample_type,n_images,tag1,tag2,tag3,tag4,tag5,comment_summary,trigger_selection,skip,km2coast,matdate,datetime,temperature,salinity,season,Copepod_nauplii,Phaeocystis_debris,Thalassiosira_TAG_external_detritus,bead,bubble,camera_spot,detritus,detritus_transparent,fecal_pellet,fiber,fiber_TAG_external_detritus,pollen,shellfish_larvae,zooplankton,date,sigma_00,sigma_11,oxsatmm_kg,sbeox0mm_kg,potemp090c,potemp190c,sal00,sal11,density00,density11,svcm,svcm1,prdm,t090c,t190c,c0s_m,c1s_m,sbeox0v,fleco_afl,turbwetntu0,spar,par,cpar,depsm,latitude_btl,longitude_btl,salinity_max,nearest_station,station_distance,sigma_t00,sigma_t11,sbox0mm_kg,oxsolmm_kg,times,scan,sbeox0ml_l,wetcdom,cstarat0,upoly0,v7,timej,t2_t190c,v0,v1,v2,altm,v3,v4,v5,cstartr0,v6,sbox1mm_kg,sbeox1v,c2_c1s_m,salinity_range,year,month,week,doy,hour,day,Acanthoica,Akashiwo,Alexandrium,Amoeba,Amphidinium,Amylax,Apedinella,Asterionellopsis,Bacillaria,Bacteriastrum,Balanion,Biddulphia,Calciopappus,Calciosolenia,Cerataulina,Chaetoceros,Chrysochromulina,Corethron,Corymbellus,Coscinodiscus,Cylindrotheca,Dactyliosolen,Delphineis,Dictyocha,Dictyocysta,Didinium,Dinobryon,Dinophysis,Ditylum,Emiliania,Ephemera,Eucampia,Euglena,Euplotes,Eutintinnus,Favella,Gonyaulax,Guinardia,Gyrodinium,Hemiaulus,Heterocapsa,Karenia,Katodinium/Torodinium,Kryptoperidinium,Laboea,Lauderia,Leegaardiella,Leptocylindrus,Licmophora,Margalefidinium,Mesodinium,Nanoneis,Odontella,Ophiaster,Oxytoxum,Paralia,Paratontonia,Parvicorbicula,Pelagostrobilidium,Phaeocystis,Pleuronema,Pleurosigma,Polykrikos,Prorocentrum,Proterythropsis,Protoperidinium,Pseudo-nitzschia,Pseudochattonella,Pyramimonas,Rhabdolithes,Rhizosolenia,Scrippsiella,Skeletonema,Stenosemella,Stephanopyxis,Strombidium,Syracosphaera,Thalassionema,Thalassiosira,Tiarina,Tintinnidium,Tintinnopsis,Tontonia,Trichodesmium,Tripos,Vicicitus,Warnowia,unknown Acantharia,unknown Bacillariophyceae,unknown Ciliophora,unknown Coccolithophyceae,unknown Cryptophyta,unknown Dinophyceae,unknown Flagellates,unknown Tintinnina
AR22,1,2.86952624,NESLTER_transect,D20170902T155102_IFCB115,2017-09-02 15:30:00+00:00,115,2.89736259166667,41.12983333,-70.83133333,4.0,cast,5747,cast,cruise_ar22,,,,,2,0,57.8103185054582,736940.645833333,02-Sep-2017 15:30:00,17.3959,31.7174,JAS,1,4,0,51,0,0,506,11,3,3,2,0,0,0,2017-09-02 15:30:00+00:00,22.9039,22.9009,241.6054,209.631,17.3954,17.3945,31.7174,31.7132,1022.9166,1022.9136,1510.31,1510.31,2.892,17.3959,17.3949,4.147539,4.146964,2.438,0.6532,0.4919,1709.3,996.2,58.287,2.869526240313792,41.12983333333333,-70.83133333333333,32.0975,MVCO,31.01802362441197,,,,,,,,,,,,,,,,,,,,,,,,,,<34,2017,9,35.0,245.0,15.0,2,124,0,0,10,3,0,145,0,0,0,2,0,195,0,66,388,67,0,0,3,48,43,0,0,0,0,12,0,0,0,0,2,12,0,0,0,0,60,0,0,768,74,3,19,7,28,0,965,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,47,0,3,100,0,110,14,35,10,62,0,0,3,19,5,7,0,0,0,5,0,3,0,3,0,602,126,112,1132,224,38,2
AR22,1,12.63672669,NESLTER_transect,D20170902T170346_IFCB115,2017-09-02 15:28:52+00:00,115,2.75485693333333,41.12983333,-70.83133333,3.0,cast,5994,cast,cruise_ar22,,,,,2,0,57.8103185054582,736940.645046296,02-Sep-2017 15:28:52,17.2687,31.7178,JAS,0,9,0,25,0,0,578,4,1,1,2,0,0,0,2017-09-02 15:28:52+00:00,22.9345,22.9654,242.19642,209.869,17.2666,17.1815,31.7178,31.732,1022.9904,1023.0212,1510.1,1509.86,12.736,17.2687,17.1836,4.13633,4.13019,2.4335,0.9717,0.5202,1613.8,148.78,9.2185,12.636726689442815,41.12983333333333,-70.83133333333333,32.0975,MVCO,31.01802362441197,,,,,,,,,,,,,,,,,,,,,,,,,,<34,2017,9,35.0,245.0,15.0,2,138,0,0,22,4,0,65,4,2,0,4,0,200,0,53,410,49,0,0,0,76,22,0,0,0,0,9,7,0,0,0,0,7,0,0,4,0,73,4,0,1118,58,11,36,4,24,0,996,0,0,9,2,0,0,0,0,0,0,0,0,0,4,0,82,0,4,93,2,136,0,40,13,120,0,0,5,22,9,13,2,0,0,4,2,4,0,5,0,681,73,74,1016,292,36,0
AR22,11,3.573269877,NESLTER_transect,D20170903T075334_IFCB115,2017-09-03 07:40:21+00:00,115,4.72323870416667,40.33416667,-70.9495,6.0,cast,717,cast,cruise_ar22,,,,,2,0,129.13469299744,736941.3196875,03-Sep-2017 07:40:21,21.0442,34.3717,JAS,0,0,0,12,0,0,97,8,0,1,0,0,0,0,2017-09-03 07:40:21+00:00,24.0038,24.0016,221.81247,187.756,21.0435,21.0464,34.3717,34.3697,1024.0194,1024.0171,1523.69,1523.69,3.601,21.0442,21.0471,4.819962,4.820003,2.3799,-0.1685,0.3486,1.9219,1.45,76.173,3.57326987662722,40.33416666666667,-70.9495,34.5674,L6,6.488219507900061,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,246.0,7.0,3,7,0,1,5,0,0,6,0,0,0,0,0,21,0,0,18,18,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,134,15,19,0,0,1,0,1,1,0,2,2,0,0,8,0,0,0,0,0,0,0,0,2,0,3,2,0,8,3,2,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,4,2,57,10,12,52,46,0,0
AR22,11,42.47927171,NESLTER_transect,D20170903T090524_IFCB115,2017-09-03 07:37:28+00:00,115,3.50055615416667,40.33416667,-70.9495,4.0,cast,3090,cast,cruise_ar22,,,,,2,0,129.13469299744,736941.317685185,03-Sep-2017 07:37:28,16.5614,34.4301,JAS,0,0,0,11,0,0,359,5,1,1,0,0,0,0,2017-09-03 07:37:28+00:00,25.1815,25.1785,241.04875,198.836,16.5545,16.5579,34.4301,34.4272,1025.369,1025.366,1511.56,1511.57,42.813,16.5614,16.5648,4.383306,4.383307,2.336,0.7484,0.3942,1.9988,1e-12,5.1468e-11,42.47927170857702,40.33416666666667,-70.9495,34.5674,L6,6.488219507900061,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,246.0,7.0,3,14,0,1,0,0,0,6,0,0,0,0,0,49,0,0,19,4,0,0,0,79,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,0,336,6,3,1,0,0,0,24,0,0,3,29,0,7,1,0,0,0,0,0,0,0,0,1,0,0,14,0,14,1,1,0,0,0,0,4,3,1,1,1,0,0,1,0,3,0,1,0,219,21,7,181,23,0,0
AR22,12,3.352980825,NESLTER_transect,D20170903T101651_IFCB115,2017-09-03 08:53:43+00:00,115,4.7793882375,40.3355,-71.068,6.0,cast,490,cast,cruise_ar22,,,,,2,0,124.932,736941.370636574,03-Sep-2017 08:53:43,20.5687,34.1094,JAS,1,0,0,15,0,0,196,0,0,0,0,0,0,0,2017-09-03 08:53:43+00:00,23.9322,23.9293,224.10912,189.612,20.5681,20.5723,34.1094,34.1071,1023.9468,1023.9439,1522.1,1522.11,3.379,20.5687,20.573,4.739679,4.73982,2.3807,-0.1953,0.3623,1.8835,1.7581,2130.9,3.352980824593573,40.3355,-71.068,34.1472,L6,15.992320093685658,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,246.0,8.0,3,0,0,2,4,0,1,1,0,0,0,0,0,14,0,0,5,6,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,5,1,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0,25,13,0,0
AR22,12,32.58578748,NESLTER_transect,D20170903T113901_IFCB115,2017-09-03 08:49:47+00:00,115,3.66191250416667,40.3355,-71.068,4.0,cast,3193,cast,cruise_ar22,,,,,2,0,124.932,736941.367905093,03-Sep-2017 08:49:47,12.6267,33.182,JAS,0,0,1,38,0,0,449,8,1,15,2,0,0,0,2017-09-03 08:49:47+00:00,25.0586,25.0545,263.14493,197.573,12.6224,12.6253,33.182,33.1775,1025.2051,1025.2011,1497.33,1497.33,32.841,12.6267,12.6297,3.872186,3.871987,2.1796,1.6363,0.4855,1.9604,1e-12,5.2009e-11,32.585787476531486,40.3355,-71.068,34.1472,L6,15.992320093685658,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,246.0,8.0,3,26,0,3,4,3,0,15,0,0,1,0,0,26,0,3,33,5,0,0,15,94,0,0,1,0,0,0,3,1,0,0,36,0,0,0,0,0,18,0,1,388,38,4,1,0,3,0,20,1,0,1,3,0,64,0,1,0,0,0,0,1,1,0,4,0,0,41,1,4,8,3,0,0,0,0,3,4,7,115,1,0,0,3,0,0,0,4,0,329,20,44,147,122,1,0
AR22,5,2.588916235,NESLTER_transect,D20170902T231812_IFCB115,2017-09-02 22:30:33+00:00,115,4.6742095375,40.32966667,-70.82933333,6.0,cast,839,cast,cruise_ar22,,,,,2,0,134.17866648,736940.937881944,02-Sep-2017 22:30:33,21.3329,34.41,JAS,0,0,0,8,0,0,126,4,0,0,0,0,0,0,2017-09-02 22:30:33+00:00,23.9543,23.9517,220.61395,187.913,21.3324,21.3348,34.41,34.4075,1023.9655,1023.9629,1524.49,1524.49,2.609,21.3329,21.3353,4.853815,4.853741,2.391,-0.1538,0.3666,105.36,63.478,60.251,2.5889162347998536,40.32966666666667,-70.82933333333334,34.8649,L6,5.913589230892593,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,245.0,22.0,2,9,0,0,3,0,0,11,1,0,0,0,0,10,0,0,10,20,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,96,11,9,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,2,40,2,3,37,61,0,0
AR22,5,38.44932945,NESLTER_transect,D20170903T003030_IFCB115,2017-09-02 22:27:13+00:00,115,2.265622325,40.32966667,-70.82933333,4.0,cast,5781,cast,cruise_ar22,,,,,2,0,134.17866648,736940.93556713,02-Sep-2017 22:27:13,13.6022,33.9009,JAS,0,1,0,18,0,0,653,7,2,4,0,0,0,1,2017-09-02 22:27:13+00:00,25.421,25.3347,256.60783,189.961,13.5968,14.3197,33.9009,33.9839,1025.593,1025.5061,1501.52,1503.98,38.751,13.6022,14.3253,4.039651,4.117312,2.1542,2.4939,0.4551,122.47,3.6285,2.9629,38.449329454448936,40.32966666666667,-70.82933333333334,34.8649,L6,5.913589230892593,,,,,,,,,,,,,,,,,,,,,,,,,,34-35,2017,9,35.0,245.0,22.0,2,126,0,0,13,4,0,22,0,0,0,0,0,93,0,0,29,11,0,0,0,466,0,0,2,0,0,0,2,0,0,0,124,2,0,0,0,0,4,0,7,1306,15,2,0,0,0,0,31,0,0,4,62,0,7,4,0,0,0,0,2,0,0,0,7,0,2,29,0,181,7,7,0,0,0,0,2,4,2,7,0,0,0,2,0,0,0,0,0,561,15,29,353,99,0,0
AR22,7,2.481784167,NESLTER_transect,D20170903T014739_IFCB115,2017-09-03 00:55:24+00:00,115,4.73413066666667,40.17066667,-70.83033333,6.0,cast,702,cast,cruise_ar22,,,,,2,0,149.810545557049,736941.038472222,03-Sep-2017 00:55:24,21.7263,34.6964,JAS,0,1,1,15,0,0,101,5,2,1,0,0,0,0,2017-09-03 00:55:24+00:00,24.0635,24.0608,218.66332,185.563,21.7258,21.7287,34.6964,34.6938,1024.0743,1024.0715,1525.85,1525.86,2.501,21.7263,21.7292,4.92981,4.929782,2.3828,-0.2315,0.3646,1.8835,1.8499,2135.6,2.481784167346069,40.17066666666667,-70.83033333333333,35.3891,L8,6.037504154025951,,,,,,,,,,,,,,,,,,,,,,,,,,35-36,2017,9,35.0,246.0,0.0,3,13,0,0,7,1,0,11,0,0,0,0,0,11,0,0,12,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,108,16,15,0,0,0,0,1,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,2,0,1,2,0,8,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,11,12,43,62,1,0
AR22,7,47.39578334,NESLTER_transect,D20170903T025810_IFCB115,2017-09-03 00:51:33+00:00,115,3.22918445416667,40.17066667,-70.83033333,4.0,cast,3386,cast,cruise_ar22,,,,,2,0,149.810545557049,736941.035798611,03-Sep-2017 00:51:33,14.9242,34.5963,JAS,0,2,0,24,0,0,699,11,0,2,0,0,0,0,2017-09-03 00:51:33+00:00,25.6788,25.6917,248.6492,200.247,14.917,15.0329,34.5963,34.6459,1025.8893,1025.9021,1506.76,1507.18,47.768,14.9242,15.04,4.242204,4.25893,2.2949,1.1416,0.4347,1.8835,1e-12,5.3093e-11,47.39578334317453,40.17066666666667,-70.83033333333333,35.3891,L8,6.037504154025951,,,,,,,,,,,,,,,,,,,,,,,,,,35-36,2017,9,35.0,246.0,0.0,3,22,0,0,12,3,0,12,0,0,0,2,0,50,0,0,11,5,0,0,2,90,0,2,5,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,1346,11,5,0,0,0,0,9,0,0,3,9,0,5,3,0,0,0,0,0,0,0,0,5,0,2,0,0,33,0,0,2,3,0,0,0,3,0,3,0,0,0,0,0,12,0,2,2,417,25,15,435,59,0,0
